City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
92,Gumia,IN,89.69,scattered clouds,23.7833,85.8167,Dj Banti Rmx Hosir
94,Torbay,CA,74.17,scattered clouds,47.6666,-52.7314,Gallows Cove
96,Dolni Bousov,CZ,73.36,overcast clouds,50.4383,15.1281,Hotel Pošta Sobotka
97,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
100,Wanning,CN,79.38,overcast clouds,18.8003,110.3967,Paradise Hotel
103,Saint-Philippe,RE,72.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
104,Mumford,GH,81.41,light rain,5.2618,-0.759,Spanish Villa
105,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
117,Arraial Do Cabo,BR,76.86,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
118,Boyuibe,BO,80.01,clear sky,-20.4167,-63.2833,Residencial Eluzai
125,Luis Correia,BR,89.6,broken clouds,-2.8792,-41.6669,Hotel Amarração
127,Tautira,PF,79.3,light rain,-17.7333,-149.15,Pension Oaoa
134,Saint-Joseph,RE,71.98,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
137,Oriximina,BR,80.38,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
138,Fier,AL,76.71,scattered clouds,40.7239,19.5561,Hotel Fieri
146,Auki,SB,77.16,scattered clouds,-8.7676,160.7034,Auki Motel
149,Vangaindrano,MG,70.59,few clouds,-23.35,47.6,Hotel Fanilo
150,Cravo Norte,CO,88.74,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
155,Kavaratti,IN,83.59,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
156,Hilo,US,70.29,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
159,Isangel,VU,77.11,scattered clouds,-19.55,169.2667,Tanna Lodge
160,Maningrida,AU,74.89,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
162,Korla,CN,79.52,overcast clouds,41.7597,86.1469,Gulisitan Hotel
163,Cabedelo,BR,79.47,light rain,-6.9811,-34.8339,Hotel Pigalle
165,Maragogi,BR,81.34,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
168,Waw,SS,88.25,overcast clouds,7.7029,27.9953,Universal Gab Hotel
169,Bengkulu,ID,78.22,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
174,Panalingaan,PH,79.81,light rain,8.7842,117.4231,I Love Panalingaan View Deck
175,Zhangye,CN,74.73,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
176,Mahon,ES,81.16,few clouds,39.8885,4.2658,ARTIEM Capri
180,Gizo,SB,81.81,scattered clouds,-8.103,156.8419,Imagination Island
181,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
185,Cabo San Lucas,MX,80.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
